,thread_count,queue_size,iat_scale,machine,tag,workload,t1_size_mb,t2_size_mb,it,status
84,16,128,1,c220g1,cl_hdd_0_26,w20,5000,100000,0,-1
85,16,128,1,c220g1,cl_hdd_0_26,w20,5000,100000,1,-1
86,16,128,1,c220g1,cl_hdd_0_26,w20,5000,100000,2,-1
87,16,128,1,c220g1,cl_hdd_0_26,w20,5000,150000,0,-1
88,16,128,1,c220g1,cl_hdd_0_26,w20,5000,150000,1,-1
89,16,128,1,c220g1,cl_hdd_0_26,w20,5000,150000,2,-1
90,16,128,1,c220g1,cl_hdd_0_26,w20,10000,0,0,9228394
91,16,128,1,c220g1,cl_hdd_0_26,w20,10000,0,1,9168129
92,16,128,1,c220g1,cl_hdd_0_26,w20,10000,0,2,9188182
93,16,128,1,c220g1,cl_hdd_0_26,w20,10000,50000,0,-1
94,16,128,1,c220g1,cl_hdd_0_26,w20,10000,50000,1,-1
95,16,128,1,c220g1,cl_hdd_0_26,w20,10000,50000,2,-1
96,16,128,1,c220g1,cl_hdd_0_26,w20,10000,100000,0,-1
97,16,128,1,c220g1,cl_hdd_0_26,w20,10000,100000,1,-1
98,16,128,1,c220g1,cl_hdd_0_26,w20,10000,100000,2,-1
99,16,128,1,c220g1,cl_hdd_0_26,w20,10000,150000,0,-1
100,16,128,1,c220g1,cl_hdd_0_26,w20,10000,150000,1,-1
101,16,128,1,c220g1,cl_hdd_0_26,w20,10000,150000,2,-1
102,16,128,1,c220g1,cl_hdd_0_26,w20,15000,0,0,9161636
103,16,128,1,c220g1,cl_hdd_0_26,w20,15000,0,1,9178948
104,16,128,1,c220g1,cl_hdd_0_26,w20,15000,0,2,9181967
105,16,128,1,c220g1,cl_hdd_0_26,w20,15000,50000,0,-1
106,16,128,1,c220g1,cl_hdd_0_26,w20,15000,50000,1,-1
107,16,128,1,c220g1,cl_hdd_0_26,w20,15000,50000,2,-1
108,16,128,1,c220g1,cl_hdd_0_26,w20,15000,100000,0,-1
109,16,128,1,c220g1,cl_hdd_0_26,w20,15000,100000,1,-1
110,16,128,1,c220g1,cl_hdd_0_26,w20,15000,100000,2,-1
111,16,128,1,c220g1,cl_hdd_0_26,w20,15000,150000,0,-1
112,16,128,1,c220g1,cl_hdd_0_26,w20,15000,150000,1,-1
113,16,128,1,c220g1,cl_hdd_0_26,w20,15000,150000,2,-1
114,16,128,1,c220g1,cl_hdd_0_26,w20,20000,0,0,9263784
115,16,128,1,c220g1,cl_hdd_0_26,w20,20000,0,1,9223485
116,16,128,1,c220g1,cl_hdd_0_26,w20,20000,0,2,9216905
117,16,128,1,c220g1,cl_hdd_0_26,w20,20000,50000,0,-1
118,16,128,1,c220g1,cl_hdd_0_26,w20,20000,50000,1,-1
119,16,128,1,c220g1,cl_hdd_0_26,w20,20000,50000,2,-1
120,16,128,1,c220g1,cl_hdd_0_26,w20,20000,100000,0,-1
121,16,128,1,c220g1,cl_hdd_0_26,w20,20000,100000,1,-1
122,16,128,1,c220g1,cl_hdd_0_26,w20,20000,100000,2,-1
123,16,128,1,c220g1,cl_hdd_0_26,w20,20000,150000,0,-1
124,16,128,1,c220g1,cl_hdd_0_26,w20,20000,150000,1,-1
125,16,128,1,c220g1,cl_hdd_0_26,w20,20000,150000,2,-1
