w03,2000,0
w03,2000,20000
w03,4000,0
w03,4000,1000
w03,4000,2000
w03,4000,3000
w03,4000,4000
w03,4000,5000
w03,4000,40000
w03,4000,20000
w03,4000,40000
w03,8000,0
w03,8000,1000
w03,8000,2000
w03,8000,3000
w03,8000,4000
w03,8000,5000
w03,8000,10000
w03,8000,20000
w03,8000,40000
w03,10000,0
w03,10000,1000
w03,10000,2000
w03,10000,3000
w03,10000,4000
w03,10000,5000
w03,10000,10000
w03,10000,20000
w03,10000,40000
w03,20000,0
w03,20000,1000
w03,20000,2000
w03,20000,3000
w03,20000,4000
w03,20000,5000
w03,20000,10000
w03,20000,20000
w03,20000,40000
w03,30000,0
w03,30000,20000
w03,30000,40000
w03,30000,80000
