w13,500,0
w13,500,10000
w13,500,20000
w13,3000,0
w13,3000,1000
w13,3000,2000
w13,3000,3000
w13,3000,4000
w13,3000,80000
w13,3000,160000
w13,4000,0
w13,4000,1000
w13,4000,2000
w13,4000,3000
w13,4000,4000
w13,4000,80000
w13,4000,160000
w13,5000,0
w13,5000,1000
w13,5000,2000
w13,5000,3000
w13,5000,4000
w13,5000,80000
w13,5000,160000
w13,8000,0
w13,8000,80000
w13,8000,160000
w13,1000,0
w13,10000,1000
w13,10000,5000
w13,10000,2000
w13,10000,20000
w13,10000,40000
w13,10000,80000
w13,10000,0
w13,10000,1000
w13,10000,2000
w13,10000,3000
w13,10000,4000
w13,10000,80000
w13,10000,160000
